CompoundName,MixerLine,material_system,phase_route,system_route_branch,recipe_maturity_level,recipe_history_n_batches,similar_recipe_count,similar_recipe_list,similarity_score,cold_start_strategy,recommendation_readiness,safe_bounds_match_level,safe_bound_status,route_stage_status,recommendation_status,confidence_label,ood_flag,model_based_saving_pct,shadow_actual_saving_pct,recommended_DryMixing_Duration,recommended_WetMixing_Duration,recommended_PID_Duration,recommended_BottomMixing_Duration,delta_DryMixing_Duration,delta_WetMixing_Duration,delta_PID_Duration,delta_BottomMixing_Duration
M1-T09170XT-- 02 001,ML09,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T09170WS-- 01 009;M1-T09170WS-- 01 010;M1-T09170XM-- 01 001;M1-T09170---- 24 001;M1-T15192R--- 03 001,0.925,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,2.16,0.0,25.0,42.0,94.0,0.0,0.0,0.0,0.0
M1-T09170XT-- 02 001,ML09,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T09170WS-- 01 009;M1-T09170WS-- 01 010;M1-T09170XM-- 01 001;M1-T09170---- 24 001;M1-T15192R--- 03 001,0.925,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,MEDIUM,False,0.0,2.15,0.0,25.0,45.0,93.0,0.0,0.0,0.0,0.0
M1-T09170XT-- 02 001,ML09,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T09170WS-- 01 009;M1-T09170WS-- 01 010;M1-T09170XM-- 01 001;M1-T09170---- 24 001;M1-T15192R--- 03 001,0.925,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,1.46,0.0,27.0,45.0,94.0,0.0,0.0,0.0,0.0
M1-A00205W3-- 03 002,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L1_SIMILAR_RECIPE_REFERENCE,4,5,M1-A00205W4-- 01 001;M1-A00205W3-- 03 003;M1-B00163RT-- 01 001;M1-B00163RT-- 01 002;M1-B00163R4-- 01 003,0.996,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,REFERENCE_ONLY,EXACT_RECIPE_MIXER_ROUTE,NOT_CHECKED,ZERO_EFFECTIVE_DURATIONS,NO_VALID_CANDIDATE,HIGH,False,0.0,8.77,51.0,5.0,0.0,80.0,0.0,0.0,0.0,0.0
M1-A00205W3-- 03 002,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L1_SIMILAR_RECIPE_REFERENCE,4,5,M1-A00205W4-- 01 001;M1-A00205W3-- 03 003;M1-B00163RT-- 01 001;M1-B00163RT-- 01 002;M1-B00163R4-- 01 003,0.997,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,REFERENCE_ONLY,EXACT_RECIPE_MIXER_ROUTE,NOT_CHECKED,ZERO_EFFECTIVE_DURATIONS,NO_VALID_CANDIDATE,HIGH,False,0.0,4.03,51.0,5.0,0.0,77.0,0.0,0.0,0.0,0.0
M1-A00205W3-- 03 002,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L1_SIMILAR_RECIPE_REFERENCE,4,5,M1-A00205W4-- 01 001;M1-A00205W3-- 03 003;M1-B00163RT-- 01 001;M1-B00163RT-- 01 002;M1-B00163R4-- 01 003,0.996,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,REFERENCE_ONLY,EXACT_RECIPE_MIXER_ROUTE,NOT_CHECKED,ZERO_EFFECTIVE_DURATIONS,NO_VALID_CANDIDATE,HIGH,False,0.0,2.46,51.0,5.0,0.0,78.0,0.0,0.0,0.0,0.0
M1-A00205W4-- 01 001,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L1_SIMILAR_RECIPE_REFERENCE,9,5,M1-A00205W3-- 03 002;M1-A00205W3-- 03 003;M1-B00163RT-- 01 001;M1-B00163RT-- 01 002;M1-B00163R4-- 01 003,0.991,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,REFERENCE_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,MEDIUM,False,0.0,5.42,51.0,10.0,0.0,78.0,0.0,0.0,0.0,0.0
M1-A00205W4-- 01 001,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L1_SIMILAR_RECIPE_REFERENCE,9,5,M1-A00205W3-- 03 002;M1-A00205W3-- 03 003;M1-B00163RT-- 01 001;M1-B00163RT-- 01 002;M1-B00163R4-- 01 003,0.975,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,REFERENCE_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,LOW,True,0.0,4.42,52.0,5.0,0.0,78.0,0.0,0.0,0.0,0.0
M1-A00205W4-- 01 001,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L1_SIMILAR_RECIPE_REFERENCE,9,5,M1-A00205W3-- 03 002;M1-A00205W3-- 03 003;M1-B00163RT-- 01 001;M1-B00163RT-- 01 002;M1-B00163R4-- 01 003,0.975,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,REFERENCE_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,LOW,True,0.0,4.87,51.0,5.0,0.0,78.0,0.0,0.0,0.0,0.0
M1-A03391---- 09 001,MB03,CarbonBlack,OilWet,CarbonBlack_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-A03391---- 09 005;M1-A03391---- 09 006;M1-A03391---- 09 003;M1-A16404B--- 01 002;M1-A16404---- 01 005,0.994,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,REJECTED,LOW,True,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,-42.0,0.0,-105.0
