CompoundName,material_system,phase_route,MixerLine,bounds_scope,sample_count,Stage2_DryMixing_Duration_min,Stage2_DryMixing_Duration_max,Stage2_DryMixing_Duration_nominal,Stage4_WetMixing_Duration_min,Stage4_WetMixing_Duration_max,Stage4_WetMixing_Duration_nominal,Stage5_PID_Duration_min,Stage5_PID_Duration_max,Stage5_PID_Duration_nominal,Stage6_BottomMixing_Duration_min,Stage6_BottomMixing_Duration_max,Stage6_BottomMixing_Duration_nominal,Target_Temperature_min,Target_Temperature_max,Target_Temperature_nominal
M1-T17054---- 02 006,Silica,OilWet,MB02,EXACT_RECIPE_MIXER_ROUTE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T17054---- 02 007,Silica,OilWet,MB02,EXACT_RECIPE_MIXER_ROUTE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T17054B--- 01 001,Silica,OilWet,MB02,EXACT_RECIPE_MIXER_ROUTE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T17224---- 07 001,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T17732---- 06 002,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,46,26.25,36.5,29.5,50.25,81.5,69.0,50.25,86.0,70.0,76.0,93.0,90.5,165.0,165.0,165.0
M1-T17771---- 04 004,Silica,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T17771---- 05 001,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,75,26.0,41.0,31.0,22.0,48.9,27.0,37.0,53.1,44.0,132.0,147.0,136.0,165.0,165.0,165.0
M1-T17771---- 05 003,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,80,26.95,38.05,33.0,26.0,43.0,32.0,24.95,74.8,47.0,117.0,191.0,119.0,165.0,165.0,165.0
M1-T17771B1-- 01 002,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,7,26.5,37.8,33.0,26.0,44.6,29.0,57.0,66.0,61.0,93.3,115.1,112.0,165.0,165.0,165.0
M1-T17771X6-- 01 005,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T18035---- 03 012,Silica,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T18035---- 03 013,Silica,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T18035---- 05 002,Silica,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,10,23.9,26.0,26.0,45.35,57.1,49.0,68.0,116.65,72.5,129.45,142.0,136.5,155.0,155.0,155.0
M1-T19012---- 01 004,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T19012---- 01 006,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T19012X1-- 01 004,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T19012X1-- 01 007,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T19065---- 01 005,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,98,53.0,57.0,56.0,43.85,81.3,63.0,47.0,64.0,51.5,75.0,84.35,78.0,165.0,165.0,165.0
M1-T19065---- 01 006,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,42,56.0,57.0,56.0,43.1,58.0,53.0,39.0,64.9,44.0,79.0,99.5,88.0,165.0,165.0,165.0
M1-T19327---- 01 003,Silica,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T19327---- 01 004,Silica,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T19327---- 01 005,Silica,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T19808---- 01 001,Silica,NoOilDry,ML09,EXACT_RECIPE_MIXER_ROUTE,5,156.4,165.0,161.0,0.0,0.0,0.0,73.0,88.0,75.0,63.2,137.4,76.0,165.0,165.0,165.0
M1-T20153---- 01 001,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,17,70.4,124.8,89.0,69.4,100.0,77.0,77.6,91.2,84.0,36.0,40.2,39.0,165.0,165.0,165.0
M1-T20153---- 01 003,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,43,97.1,143.8,109.0,51.4,104.9,86.0,85.3,116.4,97.0,38.0,78.8,39.0,165.0,165.0,165.0
M1-T20153W--- 01 001,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,104,87.15,124.0,104.0,73.0,112.1,84.0,95.0,121.85,107.0,39.0,89.85,42.0,165.0,165.0,165.0
M1-T25045---- 08 005,Silica,NoOilDry,ML09,EXACT_RECIPE_MIXER_ROUTE,5,120.2,122.0,121.0,0.0,0.0,0.0,46.6,61.8,50.0,87.0,87.0,87.0,165.0,165.0,165.0
M1-T25045-V-- 02 002,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,5,122.0,128.2,124.0,0.0,0.0,0.0,45.2,48.0,46.0,82.6,90.8,89.0,165.0,165.0,165.0
M1-T25045-V-- 02 003,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T25045-V-- 02 004,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,24,119.45,150.85,136.0,0.0,0.0,0.0,31.3,42.0,35.0,70.85,105.85,105.0,165.0,165.0,165.0
M1-T25088---- 06 001,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T25088---- 06 002,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T25088---- 06 003,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,36,111.75,141.25,133.5,0.0,0.0,0.0,52.75,69.25,56.5,74.0,135.75,75.0,165.0,165.0,165.0
M1-T26104---- 01 003,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,10,107.45,136.55,112.0,0.0,0.0,0.0,43.35,61.1,56.0,60.45,88.95,70.5,165.0,165.0,165.0
M1-T26104---- 01 004,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,25,115.6,147.0,123.0,0.0,0.0,0.0,29.4,64.0,48.0,70.2,84.0,81.0,165.0,165.0,165.0
M1-T26104---- 06 001,Silica,NoOilDry,ML09,EXACT_RECIPE_MIXER_ROUTE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
