CompoundName,material_system,phase_route,system_route_branch,actual_kwh_per_ton,recommended_kwh_per_ton,predicted_baseline_kwh_per_ton,mooney_pred,mooney_lower,mooney_upper,recommendation_status
M1-T17771---- 05 002,Silica,OilWet,Silica_OilWet,172.99,172.99,172.99,34.38,32.03,36.74,NO_VALID_CANDIDATE
M1-T33025W3-- 04 004,Silica,OilWet,Silica_OilWet,336.15,336.15,336.15,50.98,48.62,53.33,NO_VALID_CANDIDATE
M1-T33025W3-- 04 004,Silica,OilWet,Silica_OilWet,317.67,317.67,317.67,51.5,49.15,53.85,NO_VALID_CANDIDATE
M1-T33025W3-- 04 004,Silica,OilWet,Silica_OilWet,316.64,316.64,316.64,51.18,48.83,53.53,NO_VALID_CANDIDATE
M1-T02128W5-- 04 003,Silica,OilWet,Silica_OilWet,232.63,232.63,232.63,62.39,60.04,64.74,NO_VALID_CANDIDATE
M1-T02128W5-- 04 003,Silica,OilWet,Silica_OilWet,228.31,228.31,228.31,62.24,59.89,64.6,NO_VALID_CANDIDATE
M1-T02128W5-- 04 003,Silica,OilWet,Silica_OilWet,218.89,218.89,218.89,62.57,60.22,64.93,NO_VALID_CANDIDATE
M1-T17771---- 05 002,Silica,OilWet,Silica_OilWet,173.85,173.85,173.85,35.14,32.78,37.49,NO_VALID_CANDIDATE
M1-S00211---- 10 001,Silica,OilWet,Silica_OilWet,137.64,137.64,137.64,26.51,24.16,28.86,NO_VALID_CANDIDATE
M1-T30087---- 08 001,Silica,OilWet,Silica_OilWet,187.98,187.98,187.98,61.07,58.71,63.42,NO_VALID_CANDIDATE
M1-T30087---- 08 001,Silica,OilWet,Silica_OilWet,184.63,184.63,184.63,60.43,58.08,62.79,NO_VALID_CANDIDATE
M1-T30087---- 08 001,Silica,OilWet,Silica_OilWet,182.54,182.54,182.54,60.67,58.31,63.02,NO_VALID_CANDIDATE
M1-A06441XZ-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,108.56,108.56,126.92,,,,REJECTED
M1-A06441XZ-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,105.1,105.1,126.92,,,,REJECTED
M1-A06441XZ-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,104.14,104.14,126.92,,,,REJECTED
M1-T15611W6-- 01 004,Silica,OilWet,Silica_OilWet,224.38,224.38,224.38,51.4,49.05,53.75,NO_VALID_CANDIDATE
M1-T15611W6-- 01 004,Silica,OilWet,Silica_OilWet,225.18,225.18,225.18,51.36,49.0,53.71,NO_VALID_CANDIDATE
M1-T15611W6-- 01 004,Silica,OilWet,Silica_OilWet,222.04,222.04,222.04,51.29,48.93,53.64,NO_VALID_CANDIDATE
M1-A00205W3-- 03 003,CarbonBlack,OilWet,CarbonBlack_OilWet,122.91,122.91,122.91,42.31,40.55,44.08,NO_VALID_CANDIDATE
M1-A00205W3-- 03 003,CarbonBlack,OilWet,CarbonBlack_OilWet,123.83,123.83,123.83,41.86,40.09,43.62,NO_VALID_CANDIDATE
M1-T09170WS-- 02 004,Silica,OilWet,Silica_OilWet,183.76,183.76,183.76,58.13,55.78,60.48,NO_VALID_CANDIDATE
M1-T09170WS-- 02 004,Silica,OilWet,Silica_OilWet,174.39,174.39,174.39,58.86,56.51,61.21,NO_VALID_CANDIDATE
M1-T09170WS-- 02 004,Silica,OilWet,Silica_OilWet,172.76,172.76,172.76,58.07,55.72,60.42,NO_VALID_CANDIDATE
M1-T17771---- 04 003,Silica,OilWet,Silica_OilWet,173.82,173.82,173.82,34.79,32.44,37.14,NO_VALID_CANDIDATE
M1-T17771---- 04 003,Silica,OilWet,Silica_OilWet,159.42,159.42,159.42,34.41,32.06,36.76,NO_VALID_CANDIDATE
M1-T33025W3-- 03 005,Silica,OilWet,Silica_OilWet,305.69,305.69,305.69,49.96,47.6,52.31,NO_VALID_CANDIDATE
M1-T33025W3-- 03 005,Silica,OilWet,Silica_OilWet,311.82,311.82,311.82,50.3,47.95,52.66,NO_VALID_CANDIDATE
M1-B15563---- 01 005,CarbonBlack,OilWet,CarbonBlack_OilWet,116.55,116.55,121.89,,,,REJECTED
M1-B15563---- 01 005,CarbonBlack,OilWet,CarbonBlack_OilWet,118.84,118.84,123.57,,,,REJECTED
M1-B15563---- 01 005,CarbonBlack,OilWet,CarbonBlack_OilWet,119.15,119.15,123.57,,,,REJECTED
M1-T33025W3-- 03 005,Silica,OilWet,Silica_OilWet,311.06,311.06,311.06,49.75,47.4,52.11,NO_VALID_CANDIDATE
M1-A00268R2-- 05 003,CarbonBlack,OilWet,CarbonBlack_OilWet,104.48,104.48,104.48,46.1,44.33,47.86,NO_VALID_CANDIDATE
M1-A00268R2-- 05 003,CarbonBlack,OilWet,CarbonBlack_OilWet,113.15,113.15,113.15,46.87,45.11,48.64,NO_VALID_CANDIDATE
M1-A00268R2-- 05 003,CarbonBlack,OilWet,CarbonBlack_OilWet,106.09,106.09,106.09,46.52,44.75,48.28,NO_VALID_CANDIDATE
M1-T15760---- 06 001,Silica,OilWet,Silica_OilWet,138.85,138.85,138.85,55.42,53.07,57.78,NO_VALID_CANDIDATE
M1-T15760---- 06 001,Silica,OilWet,Silica_OilWet,141.87,141.87,141.87,56.5,54.14,58.85,NO_VALID_CANDIDATE
M1-T15760---- 06 001,Silica,OilWet,Silica_OilWet,166.31,166.31,166.31,55.52,53.17,57.87,NO_VALID_CANDIDATE
M1-T09170XT-- 02 001,Silica,OilWet,Silica_OilWet,287.92,287.92,287.92,58.93,56.58,61.28,NO_VALID_CANDIDATE
M1-T09170XT-- 02 001,Silica,OilWet,Silica_OilWet,287.86,287.86,287.86,59.01,56.65,61.36,NO_VALID_CANDIDATE
M1-T09170XT-- 02 001,Silica,OilWet,Silica_OilWet,291.72,291.72,291.72,58.73,56.38,61.08,NO_VALID_CANDIDATE
M1-A00205W3-- 03 002,CarbonBlack,OilWet,CarbonBlack_OilWet,122.75,122.75,122.75,40.87,39.11,42.63,NO_VALID_CANDIDATE
M1-A00205W3-- 03 002,CarbonBlack,OilWet,CarbonBlack_OilWet,116.57,116.57,116.57,40.21,38.45,41.98,NO_VALID_CANDIDATE
M1-A00205W3-- 03 002,CarbonBlack,OilWet,CarbonBlack_OilWet,115.24,115.24,115.24,40.23,38.47,41.99,NO_VALID_CANDIDATE
M1-A00205W4-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,125.42,125.42,125.42,43.79,42.03,45.55,NO_VALID_CANDIDATE
M1-A00205W4-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,118.0,118.0,118.0,42.67,40.91,44.44,NO_VALID_CANDIDATE
M1-A00205W4-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,118.55,118.55,118.55,42.79,41.02,44.55,NO_VALID_CANDIDATE
M1-B00458B1-- 02 002,CarbonBlack,OilWet,CarbonBlack_OilWet,118.72,118.72,118.72,41.54,39.78,43.31,NO_VALID_CANDIDATE
M1-B00458B1-- 02 002,CarbonBlack,OilWet,CarbonBlack_OilWet,113.02,113.02,113.02,41.51,39.75,43.27,NO_VALID_CANDIDATE
M1-B00458B1-- 02 002,CarbonBlack,OilWet,CarbonBlack_OilWet,114.07,114.07,114.07,41.04,39.28,42.81,NO_VALID_CANDIDATE
M1-B00460B--- 02 001,CarbonBlack,OilWet,CarbonBlack_OilWet,199.41,199.41,199.41,52.13,50.36,53.89,NO_VALID_CANDIDATE
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,139.05,139.05,139.05,33.16,31.4,34.93,NO_VALID_CANDIDATE
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,131.6,131.6,131.6,32.81,31.04,34.57,NO_VALID_CANDIDATE
